id,hostname,role,segment,ip_address,profile,state,gateway,dns_primary,notes
virt-edge-01,virt-edge-01,edge-router,workload,10.11.8.54,minimal,planned,10.11.8.1,10.11.8.1,First workload IP in SDV allocatable pool
virt-lab-01,virt-lab-01,forced-browser,workload,10.11.8.55,dev,planned,10.11.8.1,10.11.8.1,Portal and captive lab
virt-ci-01,virt-ci-01,ephemeral-runner,ephemeral,10.11.8.200,minimal,planned,10.11.8.1,10.11.8.1,Reserved high range for CI
local-laptop-dev,local-laptop-dev,developer-laptop,lan,192.168.68.x,dev,active,192.168.68.1,TBD,Home LAN 192.168.68.0/24 dev profile path to SDV via virt-edge-01
penguin,penguin,chromebook-linux,dev-ns,192.168.68.52,dev,active,192.168.68.51,209.18.47.61,Chromebook Crostini penguin namespace veth pair DNS 209.18.47.61 209.18.47.62
router-68-51,router-68-51,home-router,lan,192.168.68.51,infra,active,192.168.68.51,209.18.47.61,Router gateway for 192.168.68.0/24 DNS 209.18.47.61 209.18.47.62
HUM,HUM,kali-host,lan,192.168.68.53,physical,active,192.168.68.51,209.18.47.61,MAC 78:ac:c0:ac:5a:c9 IPv6 fe80::7aac:c0ff:feac:5ac9/64 eth0 192.168.68.53/22
br-int,br-int,linux-bridge,core,10.11.8.1,,active,-,-,SDV reserved
veth0,veth0,veth,core,10.11.8.50,,active,-,-,Reserved by scripts/hum-dev-netns.sh when adapted
peer0,peer0,veth,core,10.11.8.51,,active,-,-,Reserved by scripts/hum-dev-netns.sh when adapted
penguin-veth0,penguin-veth0,veth,dev-ns,192.168.68.52,,active,-,-,veth host side for penguin namespace
penguin-peer0,penguin-peer0,veth,dev-ns,192.168.68.53,,active,-,-,veth namespace peer side for penguin
